,prescriber_st,POPESTIMATE2018,class,year_month,trx,qty,DDD,DDDper1000
0,AK,736624.0,Aminoglycosides,201801,23.537000000000003,641.9236,101.68466450000001,0.14
1,AK,736624.0,Aminoglycosides,201802,32.7956,1949.8128000000002,309.391466,0.42
2,AK,736624.0,Aminoglycosides,201803,37.927,1953.3242,320.93337349999996,0.44
3,AK,736624.0,Aminoglycosides,201804,33.0552,3471.4214,589.0652985500001,0.8
4,AK,736624.0,Aminoglycosides,201805,29.054299999999998,1087.0280000000002,173.14953575,0.24
5,AK,736624.0,Aminoglycosides,201806,24.331899999999997,318.6216,37.66574434,0.05
6,AK,736624.0,Aminoglycosides,201807,33.8236,2018.9802,291.71119325,0.4
7,AK,736624.0,Aminoglycosides,201808,25.1883,1416.0176,184.30645905,0.25
8,AK,736624.0,Aminoglycosides,201809,20.7867,2859.5045999999998,422.97231231,0.57
9,AK,736624.0,Aminoglycosides,201810,38.333,1271.6574,131.24309394,0.18
10,AK,736624.0,Aminoglycosides,201811,42.2733,1859.3694,257.3979845,0.35
11,AK,736624.0,Aminoglycosides,201812,18.4988,184.94119999999998,25.03028,0.03
12,AK,736624.0,Broad-spectrum Penicillins,201801,11250.194,633073.9261,108275.41236333334,146.99
13,AK,736624.0,Broad-spectrum Penicillins,201802,9901.9198,618133.2722000001,95060.57696333334,129.05
14,AK,736624.0,Broad-spectrum Penicillins,201803,10015.3722,578347.1116000001,95437.07518166666,129.56
15,AK,736624.0,Broad-spectrum Penicillins,201804,9200.226,497745.7815,86498.26815833333,117.43
16,AK,736624.0,Broad-spectrum Penicillins,201805,9177.5987,504381.753,86422.683615,117.32
17,AK,736624.0,Broad-spectrum Penicillins,201806,7451.4221,340597.1928,68855.41876666667,93.47
18,AK,736624.0,Broad-spectrum Penicillins,201807,6636.6948,286816.4032,61409.707515,83.37
19,AK,736624.0,Broad-spectrum Penicillins,201808,7244.1444,292424.6162,66713.05030333334,90.57
20,AK,736624.0,Broad-spectrum Penicillins,201809,7318.3288,352653.55429999996,67806.703565,92.05
21,AK,736624.0,Broad-spectrum Penicillins,201810,8653.3173,428018.2731,81216.228725,110.25
22,AK,736624.0,Broad-spectrum Penicillins,201811,8639.5528,470847.583,80226.98799333333,108.91
23,AK,736624.0,Broad-spectrum Penicillins,201812,9335.7308,531014.9617,87393.47353333334,118.64
24,AK,736624.0,Carbapenems,201811,1.0589,14.8246,4.941533333333333,0.01
25,AK,736624.0,Cephalosporins,201801,4402.233200000001,181404.4259,32655.34406706,44.33
26,AK,736624.0,Cephalosporins,201802,3623.4742,153942.8841,27540.530999320003,37.39
27,AK,736624.0,Cephalosporins,201803,4207.737,173730.7194,31551.484207100002,42.83
28,AK,736624.0,Cephalosporins,201804,3886.2223,160578.0264,28207.5611557,38.29
29,AK,736624.0,Cephalosporins,201805,4085.7031,167437.8568,29972.83027236,40.69
30,AK,736624.0,Cephalosporins,201806,3970.9052,161669.1522,29027.79906628,39.41
31,AK,736624.0,Cephalosporins,201807,3945.9875,157201.4191,27906.7506915,37.88
32,AK,736624.0,Cephalosporins,201808,3962.5556,145730.57009999998,28452.423257799997,38.63
33,AK,736624.0,Cephalosporins,201809,3789.7358,143623.8883,27643.12815326,37.53
34,AK,736624.0,Cephalosporins,201810,4001.1542,158143.1184,29178.48793966,39.61
35,AK,736624.0,Cephalosporins,201811,3809.6336,150380.4309,28291.75925222,38.41
36,AK,736624.0,Cephalosporins,201812,3988.3275,155531.4468,29344.70754628,39.84
37,AK,736624.0,Glycopeptides,201801,33.6515,1300.1951,96.36556875,0.13
38,AK,736624.0,Glycopeptides,201802,26.1274,1497.9364,100.5627,0.14
39,AK,736624.0,Glycopeptides,201803,44.9915,2196.7744000000002,306.12748750000003,0.42
40,AK,736624.0,Glycopeptides,201804,35.0456,1624.2953,117.47958125,0.16
41,AK,736624.0,Glycopeptides,201805,40.4436,2169.9777,142.62840635737777,0.19
42,AK,736624.0,Glycopeptides,201806,45.9915,2560.5461,168.4326189840507,0.23
43,AK,736624.0,Glycopeptides,201807,49.777800000000006,2473.5144,270.2808125372529,0.37
44,AK,736624.0,Glycopeptides,201808,64.5277,3381.254,213.64246899053828,0.29
45,AK,736624.0,Glycopeptides,201809,47.5274,1960.6579000000002,125.43178755852803,0.17
