,prescriber_st,POPESTIMATE2019,class,year_month,trx,qty,DDD,DDDper100k,TRXper100k
0,AK,733603,Aminoglycosides,201901,18.677500000000002,717.414,132.11928,18.01,2.55
1,AK,733603,Aminoglycosides,201902,15.4223,521.7202,67.98650944,9.27,2.1
2,AK,733603,Aminoglycosides,201903,29.2961,1296.9734,230.8285,31.47,3.99
3,AK,733603,Aminoglycosides,201904,31.6744,1036.29,160.6747257,21.9,4.32
4,AK,733603,Aminoglycosides,201905,30.4264,820.6053999999999,117.5985174,16.03,4.15
5,AK,733603,Aminoglycosides,201906,22.1812,700.1286,98.16126,13.38,3.02
6,AK,733603,Aminoglycosides,201907,28.6891,391.715,39.1715,5.34,3.91
7,AK,733603,Aminoglycosides,201908,24.6027,1273.0572,215.1206,29.32,3.35
8,AK,733603,Aminoglycosides,201909,25.0505,924.1864,150.92646,20.57,3.41
9,AK,733603,Aminoglycosides,201910,21.7636,312.8711,37.4532876,5.11,2.97
10,AK,733603,Aminoglycosides,201911,29.2235,1024.851,158.69510000000002,21.63,3.98
11,AK,733603,Aminoglycosides,201912,25.3046,626.9572000000001,67.67579260000001,9.23,3.45
12,AK,733603,Broad-spectrum Penicillins,201901,10129.8641,524425.5006,94817.03166333333,12924.84,1380.84
13,AK,733603,Broad-spectrum Penicillins,201902,9701.2967,571770.6653999999,91364.86695833332,12454.27,1322.42
14,AK,733603,Broad-spectrum Penicillins,201903,9856.9419,546924.407,93466.03608166668,12740.68,1343.63
15,AK,733603,Broad-spectrum Penicillins,201904,9242.737299999999,521278.0943,86543.36771666667,11797.03,1259.91
16,AK,733603,Broad-spectrum Penicillins,201905,9562.828,522163.3076,88971.49214833333,12128.02,1303.54
17,AK,733603,Broad-spectrum Penicillins,201906,7160.24,322908.5503,65666.3297,8951.21,976.04
18,AK,733603,Broad-spectrum Penicillins,201907,6782.8983,274906.8019,61540.642525,8388.82,924.6
19,AK,733603,Broad-spectrum Penicillins,201908,6911.2739,294591.3299,63286.102941666664,8626.75,942.1
20,AK,733603,Broad-spectrum Penicillins,201909,7733.6187,358469.1815,71156.36062268933,9699.57,1054.2
21,AK,733603,Broad-spectrum Penicillins,201910,8701.0055,433138.43739999994,80920.35435833332,11030.54,1186.06
22,AK,733603,Broad-spectrum Penicillins,201911,8251.3718,447821.4988,76271.22416166667,10396.8,1124.77
23,AK,733603,Broad-spectrum Penicillins,201912,9884.1834,544914.1396,92515.11829666667,12611.06,1347.35
24,AK,733603,Carbapenems,201902,1.1018,7.7126,7.7126,1.05,0.15
25,AK,733603,Carbapenems,201907,1.8994,56.982,18.994,2.59,0.26
26,AK,733603,Carbapenems,201908,0.9989,13.9846,13.9846,1.91,0.14
27,AK,733603,Cephalosporins,201901,4019.8518,155221.8621,30009.16457286,4090.65,547.96
28,AK,733603,Cephalosporins,201902,3732.3925,147333.2775,28112.99754262,3832.18,508.78
29,AK,733603,Cephalosporins,201903,4119.3193,160069.93600000002,29996.75046116,4088.96,561.52
30,AK,733603,Cephalosporins,201904,4071.5148,166319.4521,28970.29286628,3949.04,555.0
31,AK,733603,Cephalosporins,201905,4199.7369,166471.58490000002,29944.38003556,4081.82,572.48
32,AK,733603,Cephalosporins,201906,4051.8948,155568.8939,28758.51408732,3920.17,552.33
33,AK,733603,Cephalosporins,201907,4165.6333,162170.52469999998,29777.80070596,4059.12,567.83
34,AK,733603,Cephalosporins,201908,4069.8999000000003,151691.6875,29621.73598494,4037.84,554.78
