"prescriber_st","trx2017","trx2018","trx2019","trx2020","trx2017_2019","percent_change"
"HI",57095.316128978,54871.8193214541,53220.9707794845,38597.8613310817,55062.7020766389,-0.299019846912717
"AK",46580.4341260191,42772.8545227959,41142.1723057294,31067.9553393384,43498.4869848481,-0.285769287787864
"MN",60960.3452311545,56911.5066889984,54727.4164941358,42091.9413692861,57533.0894714296,-0.268387257559172
"WA",51122.0218738653,48584.2805534841,46671.7081361971,35955.1194536454,48792.6701878488,-0.263104082739879
"DE",80149.0632835809,75899.2628324121,74003.9915918203,56541.868173071,76684.1059026044,-0.262665091969852
"IA",87736.8319711528,83384.9067494206,81926.0694152037,62560.5332851176,84349.2693785924,-0.258315646999601
"RI",79401.1731534782,75904.9643550972,77295.5784863886,57742.5630270782,77533.9053316547,-0.255260485331136
"SD",80902.6999468945,78175.0278148617,73617.0227825328,57828.1342575531,77564.9168480963,-0.254455021581418
"MT",58649.6824252132,56243.3697677003,55292.570573663,42360.1068503216,56728.5409221922,-0.253284040771964
"NJ",83058.3647255159,79976.5718898347,79391.533889805,60706.260193365,80808.8235017186,-0.248766934565332
"KY",112388.263035872,105435.63554693,107229.9664762,81509.4067185422,108351.288353001,-0.247730156627298
"ME",64197.2744607308,61560.6756469369,63306.8970775095,47437.8828359408,63021.6157283924,-0.247275997486539
"NE",90479.351162599,88735.2823716497,87323.1923950013,67030.7290539815,88845.9419764167,-0.24553977860042
"DC",79554.7245721073,76104.4390872928,74447.3353307363,58031.5607954928,76702.1663300455,-0.243416925855966
"WY",72313.5302434163,72724.1339840498,69742.7835639769,54169.6071973183,71593.4825971477,-0.243372368094907
"CT",75995.7307673374,73670.3049381449,73461.8821925384,56304.1602825522,74375.9726326736,-0.242979173386733
"WI",64469.0436303446,59670.7878668739,58266.0261828276,46089.699935964,60801.9525600154,-0.241970068469914
"ND",70190.3825676738,65689.2480350287,65788.8926627944,51089.0274908566,67222.841088499,-0.24000493487626
"NH",67841.2222942176,64583.5409545232,64086.1331968433,49850.923371942,65503.632148528,-0.23895940214573
"MA",67182.9310095635,64878.6281260348,64821.2075679892,50031.1469754296,65627.5889011958,-0.237650692138745
"KS",86431.3589614455,83390.9541676795,83412.0450142225,64398.7322899096,84411.4527144492,-0.237085369117381
"ID",63148.5026908059,60528.4974378936,58318.7625456944,46494.7380690816,60665.254224798,-0.233585374969449
"NC",77851.214827169,73087.7868494185,73903.0078254447,57447.3881876907,74947.3365006774,-0.233496600814207
"CO",52060.1739143283,48810.1094177708,47780.961957709,38049.8628807627,49550.4150966027,-0.23209799945003
"TX",78564.7404335736,76455.0376131493,75948.9212215052,59131.8830109262,76989.5664227427,-0.231949395763077
"MD",68999.1377223596,66488.8145914213,66236.9614533818,51735.4043329026,67241.6379223876,-0.230604638265695
"IN",86384.4369661192,80751.6738362026,81533.233293369,63868.8345351922,82889.7813652303,-0.229472759087489
"OR",49449.188907273,46554.041385545,45392.8034593925,36318.0321946893,47132.0112507368,-0.229440220543919
"MO",82029.3750480661,76239.8257929417,75667.4370696078,60099.107754666,77978.8793035385,-0.229289927074666
"OH",86288.342855546,81485.5420005596,82816.5993522682,64624.4448683369,83530.1614027912,-0.226334011774369
"UT",66848.0876708533,62925.2232744339,61795.1943960494,49431.1875180584,63856.1684471122,-0.225898002962722
"NY",82497.8571290409,80248.7016315616,80249.1518748962,62734.404383647,80998.5702118329,-0.225487508982198
"CA",51736.3103565694,48661.0243174111,48191.645791923,38386.6721977131,49529.6601553012,-0.224976063285091
"PA",80813.8682095893,76443.6395972022,76332.5393036252,60419.1284887244,77863.3490368056,-0.224036350399408
"SC",85206.2854622803,81492.54633323,81648.3477001967,64274.0305632,82782.3931652357,-0.223578491685938
"VA",72751.8154633491,68692.6233309677,71170.3486239111,55181.7063375241,70871.595806076,-0.221384735169273
"MI",81360.6696758624,76669.1110748205,77147.0800622346,61120.3129978212,78392.2869376392,-0.220327466062545
"VT",59876.045587172,55573.1867215534,56596.2060168641,44719.686643234,57348.4794418632,-0.22021146718339
"OK",81793.1906125734,80020.2119544931,79651.6799733177,62909.5503874489,80488.3608467947,-0.218401894067717
"IL",74355.6009115256,70332.2565996722,71197.0619120508,56400.9027950678,71961.6398077496,-0.216236554006458
"TN",103096.390811688,97152.9476231083,98348.4591977688,78061.3385018428,99532.599210855,-0.215720888224032
"AZ",66211.6531249326,62659.3352179746,62134.2497472861,50064.3908825301,63668.4126967311,-0.213669875500123
"NM",60986.0452522978,59952.4704812504,60058.9020705513,47779.945739463,60332.4726013665,-0.208055899595589
"NV",65011.9304787159,61504.7720990852,60520.2730030792,49450.3845412377,62345.6585269601,-0.206835155653158
"GA",80554.682180556,79134.2978684408,78356.9736630153,63035.3378673442,79348.6512373374,-0.205590304505605
"FL",77512.8147909369,76535.5877583389,75116.584378898,61091.0591818679,76388.3289760579,-0.200256636049528
"LA",109523.832116624,105257.198895904,103873.736903174,85085.3336327029,106218.255971901,-0.198957534614279
"WV",117405.200395011,110494.023366057,112546.119827568,91028.9683698951,113481.781196212,-0.197853898569812
"AR",101437.818806167,95518.5279638107,97393.2917773508,79067.3956763884,98116.546182443,-0.194148196682683
"AL",107481.465970915,104938.162061792,104395.131222411,85925.37419649,105604.919751706,-0.186350651101159
"MS",110555.395506163,105810.961581077,106279.242740731,88885.0677467131,107548.53327599,-0.173535286449544
