"","FIPS","NAME","Total","White alone","Black or African American alone","American Indian and Alaska Native alone","Asian alone","Native Hawaiian and Other Pacific Islander alone","Some other race alone","Two or more races","Not Hispanic or Latino","Not Hispanic or Latino-White alone","Not Hispanic or Latino-Black or African American alone","Hispanic or Latino","Poverty Total","Below Poverty","16+ Workers","16+ Employed","16+ Unemployed","Healthcare practitioners and technicians","Healthcare support","Under 5","5 to 17","18 to 49","50 to 64","Over 65","18 to 24 years Bachelors","Over 24 years Bachelors","Bachelors","Total 1-person household","Total 2-person household","Total 3-person household","Total 4-or-more-person household","Population in 1-person Household","Population in 2-person Household","Population in 3-person Household","Population in 4-person or more Household","Area SQMI","Population Density","Pre-Covid-19 Mean Distancing","April Covid-19 Mean Distancing","Last Week Covid-19 Mean Distancing","May Covid-19 Mean Distancing","Total Deaths","Total Confirmed"
"1",1001,"Autauga County, Alabama",55200,42437,10565,159,568,32,409,1030,53672,41412,10475,1528,54765,8422,25189,24124,1065,1268,419,3263,10106,22977,10804,8050,427,5903,6330,5303,7352,3386,5074,5303,14704,10158,25035,596.01,92.6158957064479,0.546117778220193,-0.461912537371737,0.245489916023356,0.191639721636606,6,331
"2",1003,"Baldwin County, Alabama",208107,179526,19764,1522,1680,9,2034,3572,198754,172768,19529,9353,204929,21653,97584,93256,4328,6215,2034,11609,34068,77838,43927,40665,1357,30431,31788,23893,30997,9983,13749,23893,61994,29949,92271,1596.53,130.349570631307,2.40688659350723,-0.0546325593472926,13.0180469881887,6.3999587535728,9,361
"3",1005,"Barbour County, Alabama",25782,12216,12266,72,96,1,778,353,24676,11898,12199,1106,22856,6597,9638,8720,918,354,195,1390,4046,10624,5088,4634,67,1417,1484,2990,2963,1311,1922,2990,5926,3933,12933,885,29.1322033898305,-0.77157556485872,-0.905455314879847,-0.631458991281903,-0.742503358462423,1,226
"4",1007,"Bibb County, Alabama",22527,17268,5018,8,37,0,9,187,21980,16801,4974,547,20468,2863,8757,8099,658,434,365,1275,3384,9871,4336,3661,21,1197,1218,1776,2580,1115,1369,1776,5160,3345,12246,622.36,36.1960922938492,-0.696056325208017,-0.865672278973084,-0.726478458184891,-0.723123274039955,1,100
"5",1009,"Blount County, Alabama",57645,55054,862,141,198,18,437,935,52384,50232,820,5261,57082,8220,22255,21346,909,1728,566,3485,9983,22448,11496,10233,150,3217,3367,5090,7415,3234,4861,5090,14830,9702,28023,645.68,89.2779705117086,-0.109724294228077,-0.633787760568534,-0.114809037376822,-0.125414596259993,1,102
"6",1011,"Bullock County, Alabama",10352,2276,7893,122,56,0,5,0,10301,2228,7893,51,9909,3110,4430,3940,490,157,63,596,1554,4428,2158,1616,50,526,576,1069,1119,939,482,1069,2238,2817,4228,625.07,16.5613451293455,-0.962527173272044,-0.983865432732588,-0.975176776620846,-0.973647982114207,8,276
"7",1013,"Butler County, Alabama",20025,10414,9055,2,231,0,0,323,19958,10384,9027,67,19707,4640,8452,7885,567,471,276,1205,3361,7564,4089,3806,36,1344,1380,2046,2484,1058,1120,2046,4968,3174,9837,776.94,25.7741910572245,-0.800415614456417,-0.944405937094338,-0.833818339504557,-0.870189896589591,25,517
"8",1015,"Calhoun County, Alabama",115098,85558,23676,353,1065,9,1701,2736,110895,83423,23618,4203,111981,20819,52461,47918,4543,3067,1222,6562,18634,46777,23739,19386,747,8060,8807,12067,16459,7321,9186,12067,32918,21963,48150,608.5,189.150369761709,3.20231270904614,0.306909912915825,2.61947549444567,2.42571125315953,3,190
"9",1017,"Chambers County, Alabama",33826,19483,13319,97,405,0,175,347,33058,18872,13319,768,33274,5531,15559,14786,773,752,358,1950,5056,13201,7210,6409,124,2200,2324,4274,4901,2147,2194,4274,9802,6441,13309,597.4,56.6220287914295,-0.475048440636743,-0.784890726869583,-0.409021120384622,-0.472228396609424,26,438
"10",1019,"Cherokee County, Alabama",25853,23997,1267,236,55,0,90,208,25455,23730,1267,398,25501,3827,10386,9805,581,1032,244,1204,4082,9089,5857,5621,108,1273,1381,2998,3967,1581,2060,2998,7934,4743,10178,553.17,46.7360847479075,-0.660894135389195,-0.865593878813799,-0.516462261755062,-0.631522579451376,5,47
"11",1021,"Chilton County, Alabama",43930,36599,4148,123,190,0,1858,1012,40514,35205,4112,3416,43260,8034,18836,17500,1336,806,390,2767,7880,17770,8586,6927,94,2728,2822,4173,5955,3157,3466,4173,11910,9471,18376,694.06,63.294239691093,-0.0518291389476651,-0.610615329157159,0.0941059677518262,-0.122149180136821,2,128
"12",1023,"Choctaw County, Alabama",13075,7420,5590,9,13,0,8,35,13002,7370,5570,73,12875,2864,4740,4236,504,266,133,671,1979,4587,2954,2884,11,770,781,1714,2070,773,793,1714,4140,2319,4902,913.58,14.311828192386,-0.911276885396243,-0.980824122661555,-0.967622675361841,-0.966676850301776,11,167
"13",1025,"Clarke County, Alabama",24387,12935,11173,25,123,0,0,131,24339,12895,11173,48,23963,6088,8913,7630,1283,545,170,1364,4025,9210,5162,4626,54,1342,1396,3190,3355,1282,1531,3190,6710,3846,10641,1238.47,19.6912319232602,-0.822878097136737,-0.949226357692052,-0.900757377088892,-0.905517122509285,3,179
"14",1027,"Clay County, Alabama",13378,11106,1977,155,18,0,26,96,12963,10740,1971,415,13040,2405,5920,5542,378,337,146,670,2149,4936,2971,2652,0,510,510,1441,2033,709,1053,1441,4066,2127,5744,605.12,22.1080116340561,-0.909315003325198,-0.971867805042056,-0.930735335123874,-0.936166283167931,2,30
"15",1029,"Cleburne County, Alabama",14938,14068,393,39,3,0,126,309,14576,13839,393,362,14659,2719,6086,5628,458,291,86,821,2617,5694,3003,2803,23,927,950,1679,1946,898,1203,1679,3892,2694,6673,560.2,26.6654766154945,-0.853124402757082,-0.962318818963661,-0.905997544899685,-0.915109506751748,1,20
"16",1031,"Coffee County, Alabama",51288,38923,8829,617,666,0,644,1609,47739,36223,8746,3549,50502,7604,23096,21725,1371,1566,603,3178,8983,20923,9829,8375,370,5439,5809,5472,6990,3160,4167,5472,13980,9480,22356,679.19,75.513479291509,0.531003472403411,-0.441531131306322,0.494108533320582,0.394091157268065,1,274
"17",1033,"Colbert County, Alabama",54495,43288,8615,367,267,29,723,1206,53146,42865,8561,1349,53991,8785,23833,22436,1397,1678,795,3098,8510,20859,11526,10502,194,4573,4767,6364,8288,3430,3717,6364,16576,10290,21265,594.58,91.6529314810454,1.10439105843917,-0.243514255148033,0.611455722655039,0.64885953364941,5,249
"18",1035,"Conecuh County, Alabama",12514,6369,5971,56,18,0,2,98,12409,6274,5961,105,12381,2752,4397,3892,505,115,200,715,1936,4394,2762,2707,4,632,636,1639,1522,762,651,1639,3044,2286,5545,850.87,14.707299587481,-0.944459370005627,-0.984044993498018,-0.926139764458007,-0.949302780656835,1,83
"19",1037,"Coosa County, Alabama",10855,7133,3713,9,0,0,0,0,10805,7084,3713,50,10452,1459,4363,4110,253,220,191,342,1508,3972,2665,2368,20,706,726,1357,1493,641,612,1357,2986,1923,4589,652.49,16.6362702876672,-0.980790289277498,-0.987893579744603,-0.930801915924543,-0.94931472492945,1,45
"20",1039,"Covington County, Alabama",37351,31624,4826,58,159,13,70,601,36747,31146,4790,604,36586,6702,16327,14899,1428,1010,295,2142,6048,13381,8130,7650,137,2539,2676,4333,5465,2646,2564,4333,10930,7938,14150,1034.73,36.0973394025495,-0.475288928057205,-0.839042621370367,-0.590628816261332,-0.623896849424449,1,116
