,prescriber_zip,FIPS
0,501,36103
1,601,72001
2,602,72003
3,603,72005
4,604,72005
5,605,72005
6,606,72093
7,610,72011
8,611,72141
9,612,72013
10,613,72013
11,614,72013
12,616,72013
13,617,72017
14,622,72023
15,623,72023
16,624,72111
17,627,72027
18,631,72081
19,637,72121
20,638,72039
21,641,72141
22,646,72051
23,647,72055
24,650,72054
25,652,72013
26,653,72055
27,656,72059
28,659,72065
29,660,72067
30,662,72071
31,664,72073
32,667,72079
33,669,72081
34,670,72083
35,674,72091
36,676,72099
37,677,72117
38,678,72115
39,680,72097
40,681,72097
41,682,72097
42,683,72125
43,685,72131
44,687,72101
45,688,72013
46,690,72005
47,692,72143
48,693,72145
49,694,72145
50,698,72153
51,703,72007
52,704,72123
53,705,72009
54,707,72095
55,714,72015
56,715,72113
57,716,72113
58,717,72113
59,718,72103
60,719,72105
61,720,72107
62,721,72119
63,723,72109
64,725,72025
65,726,72025
66,727,72025
67,728,72113
68,729,72029
69,730,72113
70,731,72113
71,732,72113
72,733,72113
73,735,72037
74,736,72035
75,737,72035
76,738,72053
77,739,72041
78,740,72053
79,741,72069
80,742,72037
81,744,72103
82,745,72119
83,751,72123
84,754,72129
85,757,72133
86,765,72147
87,766,72149
88,767,72151
89,769,72043
90,771,72085
91,772,72087
92,773,72089
93,775,72049
94,777,72077
95,778,72063
96,780,72113
97,782,72045
98,783,72047
99,784,72057
100,785,72057
101,786,72009
102,791,72069
103,792,72069
104,794,72019
105,795,72075
106,802,78030
107,820,78010
108,830,78020
109,840,78010
110,850,78010
111,901,72127
112,902,72127
113,907,72127
114,908,72127
115,909,72127
116,910,72127
117,911,72127
118,912,72127
119,913,72127
120,914,72127
121,915,72127
122,916,72127
123,917,72127
124,918,72127
125,919,72127
126,920,72127
127,921,72127
128,922,72061
129,923,72127
130,924,72127
131,925,72127
132,926,72127
133,927,72127
134,928,72127
135,929,72127
136,931,72127
137,934,72061
138,935,72127
139,936,72127
140,937,72031
141,940,72127
142,949,72137
143,950,72137
144,951,72137
145,952,72137
146,953,72135
147,954,72135
148,956,72021
149,957,72021
150,958,72021
151,959,72021
152,960,72021
153,961,72021
154,962,72033
155,963,72033
156,965,72061
157,966,72061
158,968,72061
159,969,72061
160,970,72061
161,971,72061
162,975,72127
163,976,72139
