"State","State_Abbr","Public School Enrollment","Status","Date","date","year","month"
"Alabama","AL",739716,"hybrid/remote/trad",20200821,2020-08-21,"2020","08"
"Alabama","AL",739716,"hybrid/remote/trad",20200911,2020-09-11,"2020","09"
"Alabama","AL",739716,"no order",20201016,2020-10-16,"2020","10"
"Alabama","AL",739716,"no order",20201113,2020-11-13,"2020","11"
"Alabama","AL",739716,"no order",20201211,2020-12-11,"2020","12"
"Alaska","AK",130963,"hybrid/remote/trad",20200821,2020-08-21,"2020","08"
"Alaska","AK",130963,"hybrid/remote/trad",20200911,2020-09-11,"2020","09"
"Alaska","AK",130963,"no order",20201016,2020-10-16,"2020","10"
"Alaska","AK",130963,"no order",20201113,2020-11-13,"2020","11"
"Alaska","AK",130963,"no order",20201211,2020-12-11,"2020","12"
"Arizona","AZ",1141511,"hybrid/remote/trad",20200821,2020-08-21,"2020","08"
"Arizona","AZ",1141511,"hybrid/remote/trad",20200911,2020-09-11,"2020","09"
"Arizona","AZ",1141511,"no order",20201016,2020-10-16,"2020","10"
"Arizona","AZ",1141511,"no order",20201113,2020-11-13,"2020","11"
"Arizona","AZ",1141511,"no order",20201211,2020-12-11,"2020","12"
"Arkansas","AR",495291,"closed",20200821,2020-08-21,"2020","08"
"Arkansas","AR",495291,"open",20200911,2020-09-11,"2020","09"
"Arkansas","AR",495291,"open",20201016,2020-10-16,"2020","10"
"Arkansas","AR",495291,"open",20201113,2020-11-13,"2020","11"
"Arkansas","AR",495291,"open",20201211,2020-12-11,"2020","12"
"California","CA",6272734,"closed",20200821,2020-08-21,"2020","08"
"California","CA",6272734,"closed",20200911,2020-09-11,"2020","09"
"California","CA",6272734,"partially closed",20201016,2020-10-16,"2020","10"
"California","CA",6272734,"partially closed",20201113,2020-11-13,"2020","11"
"California","CA",6272734,"partially closed",20201211,2020-12-11,"2020","12"
"Colorado","CO",911536,"hybrid/remote/trad",20200821,2020-08-21,"2020","08"
"Colorado","CO",911536,"hybrid/remote/trad",20200911,2020-09-11,"2020","09"
"Colorado","CO",911536,"no order",20201016,2020-10-16,"2020","10"
"Colorado","CO",911536,"no order",20201113,2020-11-13,"2020","11"
"Colorado","CO",911536,"no order",20201211,2020-12-11,"2020","12"
"Connecticut","CT",526634,"hybrid/remote/trad",20200821,2020-08-21,"2020","08"
"Connecticut","CT",526634,"hybrid/remote/trad",20200911,2020-09-11,"2020","09"
"Connecticut","CT",526634,"no order",20201016,2020-10-16,"2020","10"
"Connecticut","CT",526634,"no order",20201113,2020-11-13,"2020","11"
"Connecticut","CT",526634,"no order",20201211,2020-12-11,"2020","12"
"Delaware","DE",138405,"hybrid/remote/trad",20200821,2020-08-21,"2020","08"
"Delaware","DE",138405,"hybrid/remote/trad",20200911,2020-09-11,"2020","09"
"Delaware","DE",138405,"partially closed",20201016,2020-10-16,"2020","10"
"Delaware","DE",138405,"partially closed",20201113,2020-11-13,"2020","11"
"Delaware","DE",138405,"partially closed",20201211,2020-12-11,"2020","12"
"District of Columbia","DC",93741,"closed",20200821,2020-08-21,"2020","08"
"District of Columbia","DC",93741,"closed",20200911,2020-09-11,"2020","09"
"District of Columbia","DC",93741,"closed",20201016,2020-10-16,"2020","10"
"District of Columbia","DC",93741,"closed",20201113,2020-11-13,"2020","11"
"District of Columbia","DC",93741,"closed",20201211,2020-12-11,"2020","12"
"Florida","FL",2846444,"open",20200821,2020-08-21,"2020","08"
"Florida","FL",2846444,"open",20200911,2020-09-11,"2020","09"
"Florida","FL",2846444,"open",20201016,2020-10-16,"2020","10"
"Florida","FL",2846444,"open",20201113,2020-11-13,"2020","11"
"Florida","FL",2846444,"open",20201211,2020-12-11,"2020","12"
"Georgia","GA",1767202,"hybrid/remote/trad",20200821,2020-08-21,"2020","08"
"Georgia","GA",1767202,"hybrid/remote/trad",20200911,2020-09-11,"2020","09"
"Georgia","GA",1767202,"no order",20201016,2020-10-16,"2020","10"
"Georgia","GA",1767202,"no order",20201113,2020-11-13,"2020","11"
"Georgia","GA",1767202,"no order",20201211,2020-12-11,"2020","12"
"Idaho","ID",310522,"hybrid/remote/trad",20200821,2020-08-21,"2020","08"
"Idaho","ID",310522,"hybrid/remote/trad",20200911,2020-09-11,"2020","09"
"Idaho","ID",310522,"no order",20201016,2020-10-16,"2020","10"
"Idaho","ID",310522,"no order",20201113,2020-11-13,"2020","11"
"Idaho","ID",310522,"no order",20201211,2020-12-11,"2020","12"
"Illinois","IL",1982327,"hybrid/remote/trad",20200821,2020-08-21,"2020","08"
"Illinois","IL",1982327,"hybrid/remote/trad",20200911,2020-09-11,"2020","09"
"Illinois","IL",1982327,"no order",20201016,2020-10-16,"2020","10"
"Illinois","IL",1982327,"no order",20201113,2020-11-13,"2020","11"
"Illinois","IL",1982327,"no order",20201211,2020-12-11,"2020","12"
